,SAVSNET_consult_id,SAVSNET MPC,Consult_date,Species,All_Chemicals,Chemical,chemical,Disease,disease,vaccines,vacc,simple_chem,Simple_chem,year,month
3619,6541908,other_healthy,15-08-2019 09:07,cat,,,,,,,,,,2019,August
3417,6809034,vaccination,14-10-2019 17:35,dog,['Nobivaclepto4'],['Nobivaclepto4'],['Nobivaclepto4'],,,['Nobivaclepto4'],l4,,,2019,October
4328,6765717,gastroenteric,10-04-2019 09:52,dog,,,,,,,,,,2019,April
523,460793,vaccination,07-01-2015 09:36,dog,,,,,,['Nobivaclepto4'],l4,,,2015,January
1480,5566996,other_healthy,01-08-2019 17:14,dog,,,,,,,,,,2019,August
4381,5153798,vaccination,10-05-2018 09:23,dog,,,['A085A01'],,,['Nobivaclepto4'],l4,,,2018,May
3805,4413717,other_unwell,17-04-2018 11:38,dog,,,,,,,,,,2018,April
3284,254172,vaccination,18-11-2014 10:21,dog,['Nobivaclepto4'],['Nobivaclepto4'],['Nobivaclepto4'],,,['Nobivaclepto4'],l4,,,2014,November
3566,2492943,vaccination,28-11-2016 14:10,dog,,,,,,,,,,2016,November
1332,2229072,post_op,28-09-2016 16:52,dog,,,,,,['Nobivaclepto4'],l4,,,2016,September
4292,4513099,vaccination,17-05-2018 14:31,dog,,,,,,,,,,2018,May
825,3445461,other_healthy,08-02-2017 17:21,unknown,,,,,,,,,,2017,February
2958,342465,post_op,13-02-2015 10:23,dog,,,,,,,,,,2015,February
3615,4867136,post_op,08-08-2018 09:35,dog,,,,,,['Rabies vaccine'],rv,,,2018,August
226,3394618,post_op,21-07-2017 09:34,dog,['Nobivaclepto4'],['Nobivaclepto4'],['Nobivaclepto4'],,,['Nobivaclepto4'],l4,,,2017,July
1528,3017514,other_healthy,04-12-2017 17:07,cat,,,,['Club'],['Club'],,,,,2017,December
2274,5828374,vaccination,03-08-2019 10:13,cat,,,,,,,,,,2019,August
1804,344653,other_unwell,16-02-2015 16:54,rabbit,,,,,,,,,,2015,February
4029,1455204,vaccination,04-11-2016 17:59,dog,,,,,,,,,,2016,November
2656,5721959,other_unwell,02-12-2019 13:54,dog,,,,,,,,,,2019,December
2151,812706,post_op,11-12-2015 18:14,cat,,,,,,,,,,2015,December
1656,5416353,post_op,29-11-2018 17:34,dog,,,,,,,,,,2018,November
375,3933247,other_healthy,28-11-2017 17:05,cat,,,,,,,,,,2017,November
588,155318,post_op,18-08-2014 10:00,dog,,,,,,,,,,2014,August
3235,1684040,other_healthy,06-02-2016 10:30,dog,,,,,,,,,,2016,February
1515,6307435,post_op,28-06-2019 16:39,dog,,,,,,,,,,2019,June
112,1067751,vaccination,16-01-2016 14:30,dog,,,,,,,,,,2016,January
3140,2530426,vaccination,12-07-2016 10:42,dog,,,,,,,,['B12'],,2016,July
1151,2427504,other_healthy,11-11-2016 11:51,dog,,,,,,,,,,2016,November
2998,5936397,vaccination,04-03-2019 09:12,cat,,,,,,,,,,2019,March
1041,5661075,post_op,29-01-2019 14:07,dog,,,,,,,,,,2019,January
1207,830536,other_healthy,17-11-2015 17:04,dog,,,,['Club'],['Club'],,,,,2015,November
2917,4257759,other_healthy,27-02-2018 13:28,cat,,,,['Club'],['Club'],,,,,2018,February
1403,428042,vaccination,06-01-2015 11:00,dog,,,,,,,,,,2015,January
1297,203759,vaccination,29-09-2014 14:05,dog,,,,,,,,,,2014,September
803,3144415,vaccination,17-05-2017 15:09,dog,,,,,,,,,,2017,May
3458,3166287,other_healthy,23-05-2017 15:13,dog,,,,,,,,,,2017,May
1481,1175539,vaccination,02-10-2016 09:30,dog,,,,,,,,,,2016,October
2426,4540242,vaccination,25-05-2018 10:07,dog,['Nobivaclepto4'],['Nobivaclepto4'],['Nobivaclepto4'],,,['Nobivaclepto4'],l4,,,2018,May
1518,6519367,other_unwell,08-09-2019 18:33,cat,,,['microchiria implant'],,,,,,,2019,September
1495,140743,other_healthy,08-05-2014 15:34,unknown,,,,,,,,,,2014,May
3270,5081106,other_healthy,20-09-2018 09:51,dog,,,,,,,,,,2018,September
4042,5121069,other_healthy,28-09-2018 10:26,cat,,,,,,,,,,2018,September
2693,5987760,vaccination,15-04-2019 16:02,dog,,,,,,,,,,2019,April
4308,5579143,post_op,01-10-2019 17:45,dog,,,,,,,,,,2019,October
3940,3683191,other_healthy,29-09-2017 12:23,dog,,,,,,,,,,2017,September
1465,6338581,vaccination,07-05-2019 14:47,dog,,,,,,,,,,2019,May
2902,4113812,vaccination,17-01-2018 16:27,cat,,,['tricat/leuk'],,,,,,,2018,January
1300,3408126,other_unwell,24-07-2017 19:47,dog,,,,,,,,['murexide'],,2017,July
597,1938743,vaccination,27-07-2016 09:22,cat,,,,,,,,,,2016,July
807,4225680,other_healthy,16-02-2018 18:12,unknown,,,,,,,,,,2018,February
1901,1392731,other_healthy,30-03-2016 15:07,dog,,,,['Vomiting'],['Vomiting'],,,,,2016,March
379,1133607,other_healthy,02-01-2016 13:48,dog,,,,,,,,,,2016,January
2043,4030752,vaccination,22-12-2017 16:12,dog,,,,,,,,,,2017,December
3621,2429328,other_healthy,11-11-2016 16:41,dog,,,,,,,,,,2016,November
4115,6281340,post_op,24-06-2019 09:47,dog,,,['fine'],,,,,,,2019,June
132,837412,vaccination,19-11-2015 10:45,cat,,,,,,,,,,2015,November
2589,259558,other_healthy,24-11-2014 15:28,cat,,,,,,,,,,2014,November
4062,4802662,vaccination,26-07-2018 09:06,dog,,,,,,['Nobivaclepto4'],l4,,,2018,July
1934,3290132,other_healthy,26-06-2017 12:20,dog,,,,,,,,,,2017,June
3480,5753389,other_unwell,19-02-2019 15:10,dog,,,,,,,,,,2019,February
5,1646703,pruritus,24-05-2016 17:04,hamster,,,,,,,,,,2016,May
1893,2796243,vaccination,15-02-2017 08:48,dog,,,,,,,,,,2017,February
10,5467574,respiratory,12-11-2018 15:01,dog,,,,,,,,,,2018,November
2606,1267119,post_op,03-01-2016 17:53,dog,,,,,,,,,,2016,January
1343,4709713,other_unwell,07-07-2018 09:47,dog,,,,['Wound infected'],['Wound infected'],,,,,2018,July
1554,2428144,post_op,11-11-2016 14:33,cat,,,,,,,,,,2016,November
2500,4040699,vaccination,28-12-2017 11:02,cat,,,,,,,,,,2017,December
3696,1818187,vaccination,07-01-2016 09:04,dog,,,,,,,,,,2016,January
289,716068,post_op,17-10-2015 10:25,cat,,,,['cystitis'],['cystitis'],,,,,2015,October
3941,4909255,vaccination,16-08-2018 09:50,cat,,,,,,,,,,2018,August
1202,4942365,other_healthy,22-08-2018 16:49,dog,,,,,,,,,,2018,August
1641,365907,other_healthy,13-03-2015 15:49,cat,,,,,,,,,,2015,March
637,2821806,other_healthy,21-02-2017 15:19,dog,,,,,,,,,,2017,February
480,5792073,other_healthy,28-02-2019 09:19,cat,,,,,,,,,,2019,February
4218,3617356,vaccination,14-09-2017 09:40,dog,,,,,,,,,,2017,September
2157,4663362,vaccination,28-06-2018 08:49,dog,,,,,,,,,,2018,June
2074,3623126,other_healthy,15-09-2017 10:21,dog,,,,['Otitis Externa'],['Otitis Externa'],,,,,2017,September
3873,5026443,vaccination,09-10-2018 09:12,dog,,,['fine'],,,,,,,2018,October
3402,5804766,vaccination,03-02-2019 11:54,cat,,,,,,,,,,2019,February
2799,5265650,vaccination,29-10-2018 11:54,cat,,,,,,,,,,2018,October
2107,3095299,vaccination,05-04-2017 16:50,dog,,,,,,,,,,2017,April
508,6518774,other_healthy,08-09-2019 17:42,dog,,,,,,,,,,2019,September
3122,6633228,vaccination,09-04-2019 10:43,unknown,,,,,,,,,,2019,April
2680,33178,,30-04-2014 09:24,dog,,,,,,,,,,2014,April
1050,30385,post_op,26-04-2014 09:27,unknown,,,,,,['Rabies vaccine'],rv,,,2014,April
